block,table,source_fiscal_lag,partition,label_group,denominator_panel_rows,source_row_found,anchor_known,ann_date_known,f_ann_date_known,ann_date_after_anchor,f_ann_date_after_anchor,either_recorded_date_after_anchor,selected_update_flag_1,tied_max_selection,prior_dated_record_exists_in_current_snapshot,denominator_dated_selected_rows,post_anchor_fraction_among_dated,scope
fini,fina_indicator,1,outside_primary,null,10027,9982,9283,9982,0,0,0,0,0,5496,9250,9250,0.0,selection replay on available DB; frozen-value binding is assessed separately
fini,fina_indicator,1,test,negative,8415,8383,8415,8383,0,0,0,0,0,8371,8383,8383,0.0,selection replay on available DB; frozen-value binding is assessed separately
fini,fina_indicator,1,test,null,922,912,29,912,0,0,0,0,0,911,29,29,0.0,selection replay on available DB; frozen-value binding is assessed separately
fini,fina_indicator,1,test,positive,20,20,20,20,0,0,0,0,0,19,20,20,0.0,selection replay on available DB; frozen-value binding is assessed separately
fini,fina_indicator,1,train,negative,23852,17286,23852,17286,0,0,0,0,0,17191,17286,17286,0.0,selection replay on available DB; frozen-value binding is assessed separately
fini,fina_indicator,1,train,null,421,374,128,374,0,0,0,0,0,374,108,108,0.0,selection replay on available DB; frozen-value binding is assessed separately
fini,fina_indicator,1,train,positive,254,209,254,209,0,0,0,0,0,207,209,209,0.0,selection replay on available DB; frozen-value binding is assessed separately
fini,fina_indicator,1,validation,negative,7269,7238,7269,7238,0,0,0,0,0,7210,7238,7238,0.0,selection replay on available DB; frozen-value binding is assessed separately
fini,fina_indicator,1,validation,null,455,451,47,451,0,0,0,0,0,448,47,47,0.0,selection replay on available DB; frozen-value binding is assessed separately
fini,fina_indicator,1,validation,positive,40,40,40,40,0,0,0,0,0,34,40,40,0.0,selection replay on available DB; frozen-value binding is assessed separately
